Task Type,Duration (hrs),Priority,Location,Preferred Time of Day,Day of Week,Special Dates,Scheduled Time,Slot Adjustment
Social,2.0,Low,Various,Afternoon,Friday,Anniversary,4:00 PM,Moved Earlier
Errands,2.0,Low,Home Office,Afternoon,Wednesday,Holiday,9:00 AM,No Change
Deep Work,2.0,Medium,Cafe,Morning,Thursday,None,2:00 PM,Moved Later
Errands,2.0,High,Office,Afternoon,Thursday,None,9:00 AM,Moved Earlier
Errands,3.0,Medium,Various,Morning,Saturday,Holiday,9:00 AM,Moved Later
Exercise,3.0,High,Home Office,Morning,Tuesday,None,4:00 PM,Moved Later
Deep Work,1.0,High,Cafe,Afternoon,Monday,Holiday,3:00 PM,No Change
Deep Work,0.5,High,Cafe,Afternoon,Wednesday,Birthday,11:00 AM,No Change
Deep Work,2.0,Medium,Cafe,Morning,Thursday,Holiday,2:00 PM,Moved Earlier
Errands,1.0,High,Cafe,Morning,Tuesday,None,5:00 PM,No Change
Social,0.5,Medium,Cafe,Evening,Friday,Holiday,3:00 PM,Moved Earlier
Deep Work,1.5,Low,Various,Morning,Thursday,Anniversary,11:00 AM,Moved Later
Errands,3.0,Low,Home Office,Evening,Tuesday,Birthday,2:00 PM,Moved Later
Exercise,0.5,High,Cafe,Evening,Monday,Birthday,12:00 PM,Moved Earlier
Social,1.5,Medium,Gym,Evening,Monday,Holiday,11:00 AM,Moved Later
Exercise,0.5,Low,Gym,Afternoon,Thursday,None,5:00 PM,No Change
Social,3.0,Medium,Home Office,Afternoon,Sunday,Anniversary,6:00 PM,Moved Later
Errands,3.0,Medium,Office,Morning,Thursday,Birthday,10:00 AM,No Change
Meeting,1.0,High,Office,Evening,Saturday,Birthday,9:00 AM,Moved Earlier
Social,2.0,Low,Office,Afternoon,Wednesday,None,10:00 AM,Moved Earlier
Exercise,0.5,High,Gym,Afternoon,Tuesday,None,3:00 PM,Moved Later
Errands,0.5,High,Office,Afternoon,Thursday,Anniversary,6:00 PM,Moved Later
Social,1.5,Low,Various,Afternoon,Wednesday,Holiday,9:00 AM,No Change
Meeting,3.0,Low,Cafe,Afternoon,Saturday,None,2:00 PM,No Change
Meeting,0.5,Medium,Gym,Evening,Wednesday,Holiday,3:00 PM,Moved Later
Deep Work,3.0,Low,Home Office,Evening,Thursday,Anniversary,5:00 PM,Moved Later
Deep Work,0.5,Medium,Home Office,Evening,Monday,Holiday,4:00 PM,Moved Earlier
Exercise,1.0,Medium,Cafe,Evening,Tuesday,Birthday,2:00 PM,Moved Earlier
Social,2.0,Medium,Gym,Morning,Tuesday,Holiday,11:00 AM,Moved Earlier
Social,0.5,Low,Office,Evening,Monday,Anniversary,4:00 PM,Moved Later
Deep Work,3.0,High,Office,Afternoon,Sunday,Anniversary,3:00 PM,Moved Later
Social,1.0,Medium,Various,Evening,Thursday,Anniversary,11:00 AM,Moved Later
Social,0.5,High,Various,Morning,Tuesday,Holiday,5:00 PM,Moved Earlier
Meeting,1.5,High,Office,Afternoon,Thursday,Birthday,10:00 AM,Moved Later
Deep Work,2.0,Low,Home Office,Evening,Saturday,None,11:00 AM,No Change
Errands,0.5,High,Home Office,Evening,Thursday,Birthday,10:00 AM,Moved Later
Deep Work,1.0,High,Various,Evening,Wednesday,Holiday,9:00 AM,Moved Later
Errands,1.5,Low,Cafe,Afternoon,Monday,Holiday,12:00 PM,Moved Later
Meeting,1.0,Medium,Office,Afternoon,Sunday,None,1:00 PM,Moved Later
Exercise,1.0,High,Various,Morning,Thursday,Holiday,2:00 PM,Moved Later
Social,1.5,Low,Various,Afternoon,Sunday,Anniversary,1:00 PM,No Change
Meeting,1.0,High,Office,Afternoon,Sunday,Anniversary,9:00 AM,No Change
Social,1.5,High,Office,Evening,Saturday,Anniversary,11:00 AM,Moved Later
Exercise,0.5,Medium,Home Office,Afternoon,Friday,Anniversary,9:00 AM,Moved Earlier
Exercise,1.5,High,Cafe,Evening,Monday,Anniversary,1:00 PM,Moved Later
Meeting,1.5,Low,Cafe,Evening,Sunday,Holiday,1:00 PM,Moved Later
Exercise,2.0,High,Office,Afternoon,Tuesday,None,2:00 PM,Moved Later
Errands,1.5,Medium,Gym,Morning,Wednesday,None,4:00 PM,Moved Earlier
Exercise,1.5,Medium,Various,Morning,Tuesday,Anniversary,6:00 PM,Moved Earlier
Social,0.5,Low,Various,Afternoon,Saturday,Holiday,9:00 AM,Moved Earlier
Social,2.0,Medium,Office,Morning,Saturday,Birthday,12:00 PM,No Change
Social,3.0,High,Gym,Evening,Tuesday,Birthday,6:00 PM,Moved Earlier
Social,0.5,Medium,Home Office,Evening,Monday,Holiday,9:00 AM,No Change
Errands,0.5,Low,Office,Afternoon,Tuesday,Anniversary,5:00 PM,No Change
Deep Work,3.0,Medium,Office,Morning,Thursday,None,3:00 PM,Moved Earlier
Meeting,1.5,Medium,Various,Morning,Tuesday,Holiday,3:00 PM,Moved Earlier
Social,1.0,Medium,Office,Evening,Wednesday,Birthday,1:00 PM,Moved Earlier
Exercise,2.0,Low,Office,Afternoon,Wednesday,Birthday,3:00 PM,No Change
Social,1.0,Medium,Office,Morning,Friday,Birthday,10:00 AM,Moved Later
Exercise,3.0,Medium,Various,Afternoon,Wednesday,Anniversary,12:00 PM,Moved Earlier
Exercise,0.5,High,Home Office,Morning,Tuesday,Birthday,3:00 PM,Moved Earlier
Social,0.5,Low,Home Office,Evening,Wednesday,Holiday,11:00 AM,Moved Earlier
Errands,2.0,Medium,Office,Evening,Monday,Holiday,10:00 AM,No Change
Exercise,0.5,Low,Various,Afternoon,Sunday,Birthday,6:00 PM,No Change
Exercise,0.5,Medium,Home Office,Evening,Wednesday,Holiday,10:00 AM,Moved Later
Social,2.0,Medium,Home Office,Morning,Thursday,Birthday,9:00 AM,Moved Earlier
Exercise,2.0,Medium,Home Office,Evening,Monday,Birthday,1:00 PM,No Change
Exercise,3.0,High,Various,Afternoon,Friday,None,2:00 PM,Moved Later
Social,0.5,High,Various,Afternoon,Thursday,Anniversary,2:00 PM,Moved Earlier
Social,0.5,High,Office,Afternoon,Tuesday,Anniversary,5:00 PM,No Change
Meeting,3.0,Low,Cafe,Morning,Sunday,None,12:00 PM,Moved Earlier
Errands,1.5,Low,Home Office,Morning,Tuesday,None,9:00 AM,Moved Earlier
Errands,1.5,High,Cafe,Morning,Sunday,Anniversary,2:00 PM,No Change
Exercise,1.5,Low,Various,Morning,Sunday,Birthday,1:00 PM,No Change
Errands,3.0,Medium,Various,Morning,Tuesday,Birthday,6:00 PM,No Change
Exercise,0.5,Medium,Various,Evening,Thursday,Anniversary,2:00 PM,Moved Earlier
Meeting,3.0,Medium,Cafe,Morning,Thursday,Birthday,11:00 AM,Moved Earlier
Social,3.0,High,Various,Morning,Sunday,None,10:00 AM,Moved Later
Social,1.5,Low,Office,Evening,Thursday,Birthday,2:00 PM,Moved Earlier
Social,1.0,High,Various,Morning,Sunday,Birthday,9:00 AM,No Change
Errands,0.5,Low,Gym,Afternoon,Sunday,Holiday,3:00 PM,Moved Earlier
Meeting,1.5,Medium,Cafe,Morning,Monday,Holiday,3:00 PM,Moved Later
Errands,1.0,High,Gym,Morning,Saturday,Holiday,6:00 PM,Moved Later
Errands,1.0,Low,Various,Afternoon,Monday,Birthday,3:00 PM,No Change
Meeting,2.0,Low,Office,Afternoon,Tuesday,Anniversary,6:00 PM,No Change
Meeting,0.5,Medium,Home Office,Afternoon,Saturday,None,9:00 AM,Moved Later
Meeting,1.0,High,Various,Afternoon,Wednesday,Birthday,12:00 PM,Moved Later
Meeting,1.5,High,Office,Morning,Tuesday,Anniversary,3:00 PM,Moved Later
Social,2.0,High,Cafe,Afternoon,Friday,Birthday,5:00 PM,No Change
Deep Work,0.5,Medium,Gym,Afternoon,Monday,None,1:00 PM,Moved Later
Deep Work,3.0,High,Gym,Evening,Thursday,Birthday,10:00 AM,Moved Later
Meeting,1.5,Medium,Gym,Afternoon,Monday,None,3:00 PM,No Change
Deep Work,1.0,Medium,Cafe,Afternoon,Thursday,Birthday,6:00 PM,Moved Earlier
Deep Work,1.0,Medium,Office,Evening,Saturday,None,9:00 AM,Moved Earlier
Meeting,1.5,Low,Cafe,Evening,Friday,Birthday,3:00 PM,Moved Later
Deep Work,1.0,High,Gym,Morning,Saturday,None,2:00 PM,Moved Earlier
Errands,2.0,High,Various,Evening,Friday,Holiday,3:00 PM,Moved Earlier
Exercise,0.5,Medium,Home Office,Morning,Monday,Birthday,6:00 PM,Moved Earlier
Exercise,2.0,Medium,Cafe,Evening,Thursday,Birthday,11:00 AM,Moved Earlier
Meeting,1.0,High,Cafe,Evening,Saturday,Anniversary,11:00 AM,Moved Later
Social,3.0,Medium,Office,Morning,Friday,Anniversary,3:00 PM,Moved Earlier
Meeting,0.5,High,Office,Evening,Sunday,None,10:00 AM,Moved Earlier
Social,0.5,Low,Cafe,Morning,Tuesday,Birthday,9:00 AM,No Change
Exercise,1.5,Medium,Gym,Evening,Tuesday,None,5:00 PM,Moved Later
Meeting,1.5,High,Home Office,Afternoon,Saturday,Holiday,5:00 PM,No Change
Errands,3.0,Medium,Office,Evening,Thursday,Anniversary,3:00 PM,No Change
Deep Work,0.5,High,Gym,Morning,Sunday,None,3:00 PM,Moved Later
Social,3.0,High,Various,Evening,Saturday,None,11:00 AM,Moved Earlier
Deep Work,1.5,Medium,Office,Morning,Monday,Anniversary,6:00 PM,No Change
Deep Work,1.5,Low,Gym,Morning,Friday,Birthday,10:00 AM,Moved Later
Meeting,0.5,High,Gym,Afternoon,Monday,None,3:00 PM,Moved Earlier
Deep Work,2.0,High,Home Office,Afternoon,Tuesday,Anniversary,5:00 PM,Moved Later
Errands,1.0,High,Home Office,Morning,Friday,Birthday,9:00 AM,No Change
Deep Work,1.5,Low,Various,Evening,Saturday,Holiday,12:00 PM,Moved Earlier
Meeting,1.5,Low,Gym,Morning,Monday,Anniversary,2:00 PM,Moved Earlier
Errands,2.0,Medium,Gym,Morning,Wednesday,None,3:00 PM,Moved Later
Exercise,2.0,Low,Home Office,Evening,Thursday,Holiday,6:00 PM,Moved Earlier
Deep Work,3.0,Medium,Office,Evening,Sunday,Birthday,3:00 PM,No Change
Meeting,3.0,Medium,Office,Evening,Sunday,Birthday,6:00 PM,No Change
Exercise,1.0,Low,Cafe,Evening,Thursday,Anniversary,10:00 AM,No Change
Exercise,1.0,Medium,Home Office,Morning,Wednesday,Anniversary,12:00 PM,Moved Later
Social,0.5,Low,Cafe,Morning,Tuesday,Anniversary,1:00 PM,Moved Earlier
Errands,3.0,Medium,Home Office,Afternoon,Friday,Birthday,9:00 AM,Moved Earlier
Deep Work,1.5,Low,Various,Morning,Thursday,Holiday,9:00 AM,Moved Earlier
Meeting,3.0,Low,Gym,Evening,Wednesday,Birthday,6:00 PM,No Change
Social,1.5,Medium,Various,Afternoon,Saturday,None,11:00 AM,Moved Earlier
Errands,2.0,High,Home Office,Evening,Sunday,Birthday,6:00 PM,No Change
Social,3.0,Medium,Gym,Morning,Wednesday,None,11:00 AM,Moved Earlier
Errands,2.0,Low,Office,Afternoon,Tuesday,Holiday,4:00 PM,No Change
Errands,1.0,High,Office,Evening,Tuesday,Anniversary,5:00 PM,Moved Earlier
Deep Work,1.0,Medium,Cafe,Afternoon,Monday,Anniversary,9:00 AM,Moved Later
Errands,0.5,Medium,Home Office,Afternoon,Thursday,Birthday,10:00 AM,Moved Later
Social,3.0,Medium,Home Office,Morning,Monday,Anniversary,6:00 PM,No Change
Errands,2.0,High,Office,Evening,Sunday,Holiday,10:00 AM,No Change
Deep Work,1.5,Low,Various,Afternoon,Wednesday,Anniversary,12:00 PM,Moved Earlier
Deep Work,1.0,Medium,Gym,Afternoon,Friday,Birthday,10:00 AM,Moved Earlier
Social,1.0,Medium,Various,Evening,Friday,Holiday,3:00 PM,Moved Later
Exercise,1.5,Medium,Various,Afternoon,Tuesday,None,5:00 PM,Moved Earlier
Exercise,2.0,Medium,Office,Afternoon,Friday,Birthday,3:00 PM,No Change
Errands,2.0,Medium,Office,Afternoon,Friday,None,2:00 PM,No Change
Meeting,3.0,Low,Office,Evening,Sunday,Holiday,6:00 PM,No Change
Errands,3.0,Low,Cafe,Evening,Friday,Birthday,9:00 AM,No Change
Social,0.5,Medium,Various,Evening,Wednesday,Birthday,6:00 PM,No Change
Social,1.0,High,Home Office,Evening,Friday,Holiday,5:00 PM,Moved Later
Social,3.0,Low,Gym,Morning,Saturday,Anniversary,1:00 PM,Moved Later
Social,2.0,High,Cafe,Afternoon,Friday,Birthday,1:00 PM,No Change
Social,1.5,Low,Home Office,Evening,Friday,Birthday,2:00 PM,Moved Earlier
Deep Work,2.0,Medium,Various,Afternoon,Monday,None,5:00 PM,No Change
Exercise,1.0,Low,Office,Afternoon,Wednesday,Anniversary,4:00 PM,Moved Later
Social,2.0,Medium,Various,Morning,Tuesday,None,4:00 PM,No Change
Meeting,0.5,Low,Gym,Evening,Monday,None,4:00 PM,Moved Later
Meeting,1.0,Medium,Cafe,Evening,Thursday,Anniversary,9:00 AM,Moved Later
Meeting,1.5,Medium,Cafe,Afternoon,Wednesday,Anniversary,9:00 AM,No Change
Meeting,0.5,Medium,Gym,Evening,Saturday,Holiday,4:00 PM,No Change
Deep Work,1.0,Medium,Home Office,Afternoon,Wednesday,Anniversary,1:00 PM,Moved Earlier
Meeting,1.5,High,Home Office,Afternoon,Thursday,Birthday,5:00 PM,Moved Later
Social,0.5,Medium,Cafe,Morning,Thursday,Anniversary,10:00 AM,Moved Earlier
Errands,0.5,High,Cafe,Morning,Thursday,Holiday,5:00 PM,No Change
Meeting,1.0,High,Office,Morning,Sunday,Holiday,4:00 PM,Moved Later
Deep Work,3.0,Medium,Home Office,Afternoon,Tuesday,Holiday,5:00 PM,Moved Earlier
Deep Work,0.5,High,Gym,Evening,Friday,Anniversary,12:00 PM,Moved Earlier
Meeting,0.5,Low,Home Office,Morning,Wednesday,Anniversary,9:00 AM,Moved Earlier
Errands,1.5,Medium,Office,Evening,Sunday,None,9:00 AM,No Change
Meeting,2.0,High,Cafe,Morning,Friday,None,1:00 PM,No Change
Deep Work,1.0,Medium,Cafe,Morning,Friday,Birthday,10:00 AM,No Change
Exercise,1.0,Medium,Office,Afternoon,Saturday,None,4:00 PM,Moved Later
Social,3.0,Medium,Gym,Morning,Thursday,Birthday,6:00 PM,No Change
Deep Work,3.0,High,Cafe,Morning,Tuesday,Holiday,1:00 PM,Moved Later
Meeting,1.0,Low,Various,Afternoon,Saturday,None,1:00 PM,Moved Earlier
Social,3.0,Low,Cafe,Evening,Monday,Anniversary,10:00 AM,Moved Earlier
Meeting,1.5,High,Various,Morning,Sunday,None,3:00 PM,No Change
Meeting,1.0,Medium,Office,Afternoon,Sunday,Birthday,4:00 PM,Moved Earlier
Exercise,3.0,High,Office,Morning,Tuesday,None,6:00 PM,No Change
Social,1.0,High,Cafe,Afternoon,Friday,Holiday,9:00 AM,Moved Later
Social,2.0,High,Home Office,Evening,Sunday,Anniversary,10:00 AM,Moved Earlier
Exercise,0.5,Medium,Various,Evening,Tuesday,Birthday,6:00 PM,No Change
Deep Work,1.0,High,Gym,Afternoon,Sunday,Anniversary,12:00 PM,Moved Earlier
Meeting,0.5,Medium,Cafe,Afternoon,Sunday,Anniversary,1:00 PM,Moved Earlier
Errands,3.0,High,Gym,Afternoon,Thursday,Birthday,10:00 AM,No Change
Meeting,0.5,Low,Cafe,Evening,Monday,Anniversary,9:00 AM,Moved Earlier
Meeting,1.0,High,Home Office,Morning,Thursday,Anniversary,5:00 PM,Moved Earlier
Deep Work,2.0,High,Home Office,Evening,Monday,None,9:00 AM,Moved Earlier
Meeting,3.0,Low,Home Office,Afternoon,Sunday,Anniversary,12:00 PM,Moved Earlier
Exercise,1.0,Medium,Home Office,Afternoon,Saturday,Anniversary,10:00 AM,Moved Later
Exercise,3.0,Medium,Office,Evening,Friday,Anniversary,12:00 PM,Moved Earlier
Social,1.5,High,Office,Afternoon,Sunday,Anniversary,4:00 PM,Moved Earlier
Errands,0.5,Low,Various,Evening,Monday,Birthday,4:00 PM,No Change
Meeting,1.5,Medium,Gym,Afternoon,Monday,Holiday,5:00 PM,Moved Later
Meeting,1.0,High,Cafe,Morning,Monday,None,1:00 PM,No Change
Deep Work,2.0,Low,Cafe,Morning,Sunday,Anniversary,3:00 PM,No Change
Exercise,3.0,Medium,Office,Afternoon,Tuesday,Anniversary,11:00 AM,No Change
Errands,0.5,Medium,Cafe,Evening,Saturday,Birthday,6:00 PM,Moved Later
Social,3.0,Low,Office,Morning,Tuesday,Holiday,12:00 PM,No Change
Exercise,1.0,Low,Various,Evening,Friday,Anniversary,6:00 PM,No Change
Social,3.0,Low,Gym,Afternoon,Sunday,Birthday,5:00 PM,No Change
Deep Work,0.5,Low,Various,Evening,Monday,None,6:00 PM,Moved Earlier
Deep Work,1.0,High,Home Office,Morning,Saturday,None,6:00 PM,No Change
Meeting,3.0,Low,Home Office,Evening,Saturday,Anniversary,9:00 AM,Moved Later
Errands,2.0,Medium,Home Office,Evening,Wednesday,Anniversary,10:00 AM,Moved Later
Social,1.0,Medium,Various,Afternoon,Friday,Holiday,1:00 PM,Moved Earlier
Exercise,1.0,High,Cafe,Afternoon,Saturday,Holiday,11:00 AM,Moved Later
Deep Work,2.0,Medium,Gym,Afternoon,Sunday,Anniversary,10:00 AM,Moved Later
Meeting,1.5,Medium,Home Office,Morning,Monday,Birthday,9:00 AM,Moved Earlier
Meeting,0.5,Low,Home Office,Morning,Monday,Holiday,6:00 PM,No Change
Social,1.5,Medium,Home Office,Afternoon,Saturday,Anniversary,11:00 AM,Moved Earlier
Deep Work,3.0,High,Gym,Afternoon,Tuesday,Holiday,9:00 AM,No Change
Errands,2.0,Low,Home Office,Morning,Friday,Anniversary,9:00 AM,No Change
Deep Work,1.5,Low,Gym,Morning,Monday,None,9:00 AM,Moved Later
Social,1.0,High,Home Office,Morning,Saturday,Anniversary,4:00 PM,Moved Earlier
Social,3.0,Low,Various,Morning,Monday,None,11:00 AM,Moved Later
Deep Work,3.0,Low,Various,Afternoon,Saturday,Holiday,9:00 AM,Moved Later
Social,1.5,High,Gym,Morning,Friday,Anniversary,3:00 PM,No Change
Deep Work,1.5,Low,Various,Afternoon,Saturday,Holiday,6:00 PM,Moved Later
Exercise,2.0,High,Gym,Evening,Wednesday,None,11:00 AM,Moved Earlier
Deep Work,0.5,High,Various,Evening,Saturday,Anniversary,4:00 PM,Moved Later
Deep Work,1.5,Medium,Various,Morning,Saturday,Holiday,12:00 PM,Moved Later
Social,1.5,Medium,Gym,Evening,Sunday,None,12:00 PM,No Change
Social,1.0,Low,Cafe,Evening,Friday,Holiday,1:00 PM,Moved Earlier
Meeting,3.0,Low,Various,Evening,Sunday,Birthday,2:00 PM,Moved Later
Meeting,0.5,High,Home Office,Morning,Saturday,None,3:00 PM,No Change
Exercise,1.0,Low,Cafe,Morning,Friday,None,12:00 PM,Moved Later
Meeting,2.0,High,Gym,Evening,Wednesday,None,4:00 PM,Moved Earlier
Deep Work,2.0,High,Cafe,Afternoon,Friday,Anniversary,2:00 PM,Moved Later
Social,1.5,Low,Office,Evening,Monday,Anniversary,9:00 AM,Moved Later
Meeting,1.5,High,Office,Morning,Sunday,Anniversary,9:00 AM,No Change
Meeting,2.0,Medium,Various,Morning,Friday,Birthday,5:00 PM,Moved Later
Exercise,1.5,Low,Various,Morning,Wednesday,Birthday,6:00 PM,No Change
Exercise,0.5,Medium,Home Office,Evening,Thursday,None,2:00 PM,Moved Earlier
Deep Work,1.5,Low,Cafe,Afternoon,Saturday,Birthday,6:00 PM,Moved Later
Social,3.0,High,Office,Morning,Friday,Holiday,4:00 PM,Moved Earlier
Exercise,1.5,Low,Various,Morning,Saturday,None,3:00 PM,Moved Earlier
Meeting,1.0,Medium,Cafe,Evening,Tuesday,None,2:00 PM,Moved Later
Social,0.5,High,Various,Afternoon,Monday,Holiday,12:00 PM,No Change
Social,1.0,Low,Various,Evening,Sunday,None,3:00 PM,Moved Earlier
Meeting,1.0,Low,Office,Morning,Monday,Birthday,5:00 PM,Moved Earlier
Exercise,3.0,Low,Office,Afternoon,Tuesday,Anniversary,6:00 PM,Moved Later
Meeting,0.5,Medium,Various,Afternoon,Tuesday,Holiday,6:00 PM,Moved Later
Social,0.5,Medium,Gym,Morning,Sunday,Birthday,3:00 PM,Moved Later
Errands,0.5,Low,Various,Afternoon,Friday,Holiday,9:00 AM,Moved Later
Errands,0.5,High,Various,Afternoon,Tuesday,Holiday,6:00 PM,Moved Later
Deep Work,0.5,High,Home Office,Evening,Thursday,None,5:00 PM,Moved Later
Meeting,3.0,Medium,Home Office,Morning,Saturday,None,12:00 PM,No Change
Meeting,1.5,High,Home Office,Morning,Saturday,Birthday,11:00 AM,Moved Earlier
Deep Work,1.0,Medium,Gym,Morning,Wednesday,Holiday,12:00 PM,No Change
Deep Work,0.5,Low,Gym,Morning,Tuesday,None,12:00 PM,No Change
Deep Work,1.5,Medium,Various,Morning,Tuesday,None,6:00 PM,Moved Later
Social,1.5,Medium,Home Office,Afternoon,Thursday,Holiday,10:00 AM,Moved Earlier
Meeting,1.0,Low,Gym,Evening,Monday,Birthday,9:00 AM,No Change
