Task Type,Duration (hrs),Priority,Location,Preferred Time of Day,Day of Week,Special Dates,Scheduled Time,Slot Adjustment
Meeting,2.0,Medium,Home Office,Morning,Thursday,None,1:00 PM,Moved Later
Meeting,2.0,High,Cafe,Evening,Thursday,Holiday,3:00 PM,No Change
Social,2.0,Medium,Office,Evening,Friday,Birthday,1:00 PM,No Change
Meeting,1.0,Low,Cafe,Afternoon,Friday,Anniversary,9:00 AM,Moved Later
Errands,2.0,High,Office,Evening,Friday,None,3:00 PM,Moved Later
Deep Work,1.5,Medium,Various,Afternoon,Wednesday,None,4:00 PM,No Change
Deep Work,0.5,Medium,Gym,Morning,Sunday,Birthday,3:00 PM,Moved Later
Meeting,2.0,Medium,Various,Morning,Thursday,Anniversary,12:00 PM,Moved Earlier
Social,0.5,High,Various,Afternoon,Sunday,None,4:00 PM,Moved Earlier
Social,1.0,High,Cafe,Morning,Saturday,Birthday,1:00 PM,No Change
Errands,0.5,High,Gym,Morning,Thursday,Holiday,6:00 PM,Moved Earlier
Meeting,1.0,Low,Office,Afternoon,Wednesday,Holiday,5:00 PM,Moved Earlier
Deep Work,1.5,Low,Office,Afternoon,Friday,Holiday,6:00 PM,No Change
Social,1.0,High,Home Office,Morning,Tuesday,Anniversary,1:00 PM,Moved Later
Meeting,1.0,Medium,Office,Evening,Friday,Birthday,9:00 AM,No Change
Social,3.0,Low,Cafe,Evening,Friday,Birthday,5:00 PM,Moved Earlier
Social,2.0,High,Various,Afternoon,Wednesday,None,1:00 PM,No Change
Deep Work,2.0,Medium,Various,Afternoon,Sunday,None,2:00 PM,No Change
Exercise,1.5,Low,Various,Evening,Thursday,None,12:00 PM,Moved Earlier
Errands,1.5,Medium,Gym,Morning,Friday,Birthday,2:00 PM,Moved Earlier
Errands,2.0,Medium,Office,Evening,Thursday,None,4:00 PM,No Change
Deep Work,3.0,Medium,Cafe,Evening,Monday,Birthday,11:00 AM,Moved Earlier
Social,2.0,Medium,Gym,Evening,Saturday,Birthday,1:00 PM,Moved Earlier
Meeting,3.0,Low,Home Office,Evening,Sunday,Holiday,10:00 AM,Moved Earlier
Social,1.5,Low,Cafe,Afternoon,Thursday,None,10:00 AM,Moved Earlier
Deep Work,0.5,Low,Cafe,Afternoon,Tuesday,Holiday,3:00 PM,Moved Earlier
Errands,1.5,High,Cafe,Morning,Saturday,Anniversary,6:00 PM,Moved Earlier
Social,1.5,Low,Various,Morning,Tuesday,Anniversary,6:00 PM,Moved Later
Errands,1.0,Medium,Cafe,Morning,Friday,Anniversary,6:00 PM,No Change
Meeting,1.0,Low,Office,Morning,Saturday,Birthday,2:00 PM,Moved Earlier
Errands,1.0,Medium,Cafe,Evening,Thursday,Birthday,12:00 PM,No Change
Errands,1.0,High,Various,Afternoon,Saturday,Birthday,1:00 PM,Moved Later
Exercise,3.0,Medium,Cafe,Afternoon,Friday,None,9:00 AM,Moved Earlier
Exercise,2.0,Medium,Home Office,Morning,Wednesday,Holiday,3:00 PM,No Change
Exercise,0.5,Medium,Home Office,Morning,Sunday,Birthday,4:00 PM,Moved Earlier
Errands,1.5,High,Various,Evening,Tuesday,Holiday,5:00 PM,Moved Earlier
Deep Work,3.0,Low,Office,Evening,Friday,Holiday,4:00 PM,Moved Earlier
Errands,0.5,Low,Office,Morning,Wednesday,Holiday,1:00 PM,Moved Earlier
Deep Work,3.0,High,Gym,Afternoon,Saturday,None,11:00 AM,Moved Earlier
Deep Work,3.0,Medium,Various,Afternoon,Saturday,None,6:00 PM,Moved Earlier
Exercise,1.5,Low,Cafe,Afternoon,Friday,Anniversary,5:00 PM,Moved Earlier
Social,2.0,High,Various,Morning,Thursday,Anniversary,2:00 PM,Moved Later
Meeting,1.0,Low,Gym,Afternoon,Saturday,Holiday,1:00 PM,Moved Later
Exercise,2.0,High,Various,Evening,Thursday,Anniversary,11:00 AM,Moved Earlier
Exercise,1.5,Medium,Various,Evening,Thursday,Holiday,2:00 PM,Moved Earlier
Social,1.5,Low,Gym,Morning,Sunday,None,11:00 AM,Moved Later
Meeting,1.5,High,Office,Evening,Thursday,None,6:00 PM,Moved Later
Errands,0.5,Low,Cafe,Morning,Monday,None,2:00 PM,Moved Later
Errands,2.0,Low,Gym,Afternoon,Sunday,Birthday,12:00 PM,Moved Earlier
Exercise,2.0,Low,Home Office,Afternoon,Wednesday,Holiday,10:00 AM,No Change
Meeting,3.0,Low,Office,Afternoon,Wednesday,None,4:00 PM,No Change
Exercise,3.0,High,Home Office,Evening,Saturday,Holiday,12:00 PM,No Change
Deep Work,3.0,Medium,Office,Morning,Saturday,Anniversary,5:00 PM,No Change
Exercise,1.5,High,Cafe,Afternoon,Thursday,Anniversary,3:00 PM,Moved Earlier
Exercise,2.0,High,Cafe,Morning,Sunday,None,10:00 AM,No Change
Errands,1.5,High,Various,Afternoon,Sunday,Holiday,12:00 PM,Moved Later
Errands,0.5,Medium,Home Office,Evening,Monday,None,1:00 PM,Moved Later
Errands,3.0,Low,Office,Evening,Thursday,Anniversary,11:00 AM,No Change
Deep Work,1.5,Low,Cafe,Morning,Monday,None,5:00 PM,Moved Later
Errands,1.5,Low,Gym,Evening,Thursday,Holiday,1:00 PM,Moved Earlier
Meeting,0.5,Medium,Cafe,Evening,Tuesday,Anniversary,10:00 AM,No Change
Social,1.0,Low,Gym,Morning,Tuesday,Birthday,11:00 AM,No Change
Meeting,2.0,Medium,Office,Afternoon,Friday,Anniversary,5:00 PM,Moved Earlier
Meeting,1.0,Low,Cafe,Evening,Thursday,Birthday,3:00 PM,Moved Later
Errands,3.0,Low,Cafe,Morning,Sunday,None,10:00 AM,Moved Earlier
Social,1.5,High,Office,Evening,Saturday,None,5:00 PM,Moved Earlier
Social,0.5,Medium,Cafe,Evening,Wednesday,Holiday,12:00 PM,Moved Later
Social,0.5,High,Gym,Evening,Friday,Birthday,5:00 PM,Moved Earlier
Deep Work,2.0,High,Cafe,Evening,Saturday,None,10:00 AM,Moved Later
Errands,1.0,High,Home Office,Morning,Tuesday,Birthday,6:00 PM,Moved Later
Social,2.0,Medium,Various,Morning,Thursday,None,12:00 PM,Moved Earlier
Deep Work,1.5,Medium,Gym,Morning,Friday,Anniversary,1:00 PM,Moved Later
Exercise,2.0,Low,Home Office,Evening,Thursday,None,10:00 AM,Moved Earlier
Exercise,0.5,High,Office,Evening,Tuesday,Holiday,6:00 PM,Moved Later
Deep Work,0.5,Low,Gym,Evening,Friday,Anniversary,9:00 AM,No Change
Deep Work,3.0,High,Various,Morning,Tuesday,Holiday,3:00 PM,Moved Later
Errands,3.0,Medium,Various,Evening,Monday,Anniversary,6:00 PM,Moved Later
Errands,1.5,Medium,Office,Afternoon,Tuesday,Birthday,9:00 AM,Moved Earlier
Exercise,1.0,Medium,Office,Evening,Sunday,Holiday,4:00 PM,Moved Later
Social,2.0,High,Gym,Afternoon,Sunday,None,11:00 AM,No Change
Exercise,1.5,Medium,Cafe,Evening,Thursday,Birthday,6:00 PM,No Change
Social,3.0,High,Office,Morning,Wednesday,None,2:00 PM,Moved Later
Social,2.0,Low,Cafe,Evening,Tuesday,Anniversary,3:00 PM,Moved Later
Errands,3.0,High,Home Office,Afternoon,Saturday,Anniversary,6:00 PM,No Change
Meeting,2.0,Low,Various,Afternoon,Sunday,None,9:00 AM,Moved Earlier
Meeting,1.0,High,Cafe,Evening,Wednesday,None,2:00 PM,No Change
Deep Work,1.5,Low,Various,Afternoon,Monday,Birthday,3:00 PM,No Change
Errands,2.0,Medium,Cafe,Afternoon,Friday,None,2:00 PM,Moved Later
Social,0.5,Low,Home Office,Morning,Friday,Holiday,12:00 PM,Moved Later
Meeting,0.5,Medium,Office,Evening,Sunday,Holiday,9:00 AM,No Change
Social,2.0,Medium,Home Office,Evening,Wednesday,None,5:00 PM,Moved Earlier
Meeting,2.0,Low,Office,Evening,Sunday,Holiday,12:00 PM,No Change
Meeting,2.0,High,Office,Afternoon,Friday,None,3:00 PM,No Change
Meeting,0.5,High,Various,Evening,Tuesday,Birthday,3:00 PM,Moved Earlier
Errands,0.5,High,Home Office,Evening,Wednesday,Holiday,10:00 AM,No Change
Exercise,2.0,High,Cafe,Morning,Thursday,Holiday,9:00 AM,No Change
Social,3.0,High,Home Office,Morning,Tuesday,None,4:00 PM,Moved Later
Errands,3.0,Medium,Various,Morning,Tuesday,Holiday,4:00 PM,Moved Earlier
Errands,1.0,High,Office,Afternoon,Tuesday,Anniversary,3:00 PM,Moved Later
Errands,1.5,Medium,Various,Evening,Thursday,Birthday,4:00 PM,Moved Later
Errands,3.0,Medium,Gym,Morning,Monday,Birthday,11:00 AM,Moved Earlier
Errands,0.5,Medium,Gym,Morning,Saturday,Holiday,10:00 AM,Moved Earlier
Deep Work,3.0,Low,Cafe,Morning,Sunday,Holiday,3:00 PM,No Change
Social,1.0,Low,Various,Evening,Friday,Anniversary,4:00 PM,Moved Later
Errands,1.0,Medium,Cafe,Evening,Sunday,Anniversary,9:00 AM,Moved Earlier
Social,1.5,Low,Cafe,Evening,Wednesday,Holiday,6:00 PM,Moved Later
Deep Work,3.0,High,Gym,Afternoon,Monday,Holiday,5:00 PM,Moved Later
Deep Work,0.5,High,Cafe,Afternoon,Wednesday,Anniversary,12:00 PM,Moved Earlier
Social,0.5,Medium,Gym,Morning,Sunday,None,12:00 PM,No Change
Meeting,2.0,High,Office,Evening,Friday,Anniversary,11:00 AM,Moved Later
Exercise,0.5,Medium,Various,Morning,Thursday,None,2:00 PM,Moved Earlier
Meeting,1.5,Medium,Cafe,Evening,Sunday,Birthday,9:00 AM,No Change
Meeting,1.5,High,Gym,Evening,Tuesday,Birthday,2:00 PM,Moved Later
Meeting,0.5,Low,Home Office,Evening,Sunday,Anniversary,10:00 AM,Moved Earlier
Errands,0.5,High,Cafe,Afternoon,Tuesday,None,5:00 PM,Moved Later
Deep Work,2.0,High,Office,Afternoon,Thursday,Anniversary,10:00 AM,Moved Earlier
Meeting,0.5,Medium,Office,Evening,Sunday,Anniversary,3:00 PM,Moved Earlier
Deep Work,2.0,Medium,Home Office,Morning,Monday,None,9:00 AM,Moved Later
Social,2.0,Medium,Gym,Evening,Monday,Anniversary,3:00 PM,Moved Later
Exercise,0.5,Medium,Cafe,Evening,Wednesday,Birthday,1:00 PM,Moved Earlier
Social,1.0,Low,Gym,Morning,Thursday,Holiday,4:00 PM,No Change
Social,1.0,Low,Office,Evening,Monday,Holiday,12:00 PM,Moved Later
Errands,2.0,Low,Gym,Morning,Sunday,Anniversary,6:00 PM,Moved Earlier
Exercise,0.5,Medium,Office,Afternoon,Thursday,None,3:00 PM,Moved Earlier
Social,1.0,Medium,Gym,Afternoon,Friday,None,2:00 PM,No Change
Social,0.5,Medium,Home Office,Morning,Tuesday,Birthday,1:00 PM,No Change
Exercise,0.5,Low,Various,Afternoon,Sunday,None,12:00 PM,No Change
Exercise,0.5,Medium,Home Office,Afternoon,Tuesday,None,3:00 PM,Moved Later
Social,3.0,High,Home Office,Morning,Tuesday,Birthday,1:00 PM,Moved Earlier
Exercise,0.5,High,Various,Afternoon,Thursday,Anniversary,1:00 PM,Moved Earlier
Social,3.0,Medium,Various,Evening,Thursday,Holiday,9:00 AM,Moved Earlier
Social,2.0,High,Cafe,Evening,Wednesday,Birthday,10:00 AM,No Change
Errands,1.0,High,Cafe,Morning,Tuesday,Anniversary,1:00 PM,Moved Earlier
Meeting,1.0,Low,Home Office,Afternoon,Wednesday,Birthday,11:00 AM,Moved Later
Social,1.0,Medium,Home Office,Evening,Tuesday,Anniversary,10:00 AM,No Change
Deep Work,1.0,Medium,Office,Evening,Wednesday,Birthday,12:00 PM,No Change
Meeting,1.0,Low,Office,Afternoon,Wednesday,Anniversary,12:00 PM,No Change
Meeting,1.0,High,Cafe,Afternoon,Friday,Birthday,12:00 PM,No Change
Meeting,1.0,High,Cafe,Evening,Wednesday,Anniversary,12:00 PM,Moved Later
Errands,2.0,Medium,Office,Evening,Thursday,Birthday,11:00 AM,Moved Earlier
Social,0.5,High,Office,Morning,Wednesday,Holiday,3:00 PM,Moved Later
Errands,1.5,Low,Gym,Morning,Tuesday,Holiday,5:00 PM,Moved Earlier
Social,3.0,Low,Gym,Evening,Wednesday,None,1:00 PM,Moved Later
Errands,1.5,Medium,Office,Morning,Monday,Anniversary,12:00 PM,No Change
Errands,1.5,Low,Gym,Evening,Saturday,Birthday,10:00 AM,No Change
Deep Work,0.5,Low,Various,Evening,Tuesday,Anniversary,10:00 AM,Moved Later
Errands,0.5,Medium,Cafe,Morning,Monday,Holiday,1:00 PM,Moved Later
Exercise,0.5,Low,Cafe,Morning,Tuesday,Anniversary,3:00 PM,Moved Earlier
Deep Work,1.0,Low,Office,Afternoon,Thursday,Birthday,6:00 PM,Moved Later
Errands,2.0,Low,Home Office,Afternoon,Saturday,Anniversary,6:00 PM,Moved Later
Meeting,1.0,High,Office,Afternoon,Saturday,Birthday,5:00 PM,Moved Earlier
Exercise,2.0,Medium,Gym,Evening,Thursday,Holiday,3:00 PM,Moved Earlier
Exercise,2.0,Medium,Home Office,Morning,Saturday,Holiday,1:00 PM,Moved Earlier
Exercise,1.5,Medium,Gym,Evening,Thursday,Holiday,6:00 PM,Moved Later
Deep Work,1.5,High,Various,Morning,Monday,None,6:00 PM,Moved Earlier
Errands,2.0,High,Gym,Evening,Friday,Holiday,6:00 PM,No Change
Errands,2.0,Medium,Various,Afternoon,Tuesday,Anniversary,2:00 PM,No Change
Meeting,1.0,High,Various,Afternoon,Thursday,None,11:00 AM,No Change
Meeting,1.0,Medium,Gym,Afternoon,Tuesday,Holiday,1:00 PM,Moved Later
Exercise,1.5,High,Gym,Evening,Monday,Anniversary,4:00 PM,No Change
Meeting,0.5,Low,Various,Morning,Friday,Anniversary,9:00 AM,Moved Later
Deep Work,2.0,Low,Home Office,Morning,Monday,Anniversary,9:00 AM,Moved Later
Errands,1.0,Medium,Various,Afternoon,Saturday,Birthday,3:00 PM,No Change
Exercise,1.5,High,Cafe,Afternoon,Tuesday,None,1:00 PM,Moved Earlier
Meeting,1.0,High,Various,Afternoon,Sunday,Anniversary,1:00 PM,Moved Later
Deep Work,2.0,Low,Home Office,Afternoon,Friday,Birthday,9:00 AM,No Change
Deep Work,2.0,Low,Cafe,Morning,Saturday,Holiday,5:00 PM,Moved Later
Meeting,3.0,High,Office,Evening,Friday,Anniversary,9:00 AM,Moved Earlier
Errands,0.5,High,Office,Evening,Saturday,Birthday,1:00 PM,Moved Earlier
Meeting,3.0,High,Home Office,Evening,Monday,Anniversary,6:00 PM,No Change
Exercise,1.5,High,Various,Evening,Thursday,None,5:00 PM,Moved Later
Meeting,1.0,High,Gym,Afternoon,Tuesday,None,12:00 PM,Moved Later
Deep Work,1.5,High,Home Office,Afternoon,Wednesday,Holiday,4:00 PM,Moved Later
Meeting,2.0,Medium,Cafe,Afternoon,Wednesday,Anniversary,2:00 PM,Moved Later
Errands,3.0,High,Cafe,Evening,Monday,Birthday,11:00 AM,No Change
Social,3.0,Low,Office,Afternoon,Tuesday,Holiday,12:00 PM,Moved Earlier
Meeting,3.0,Medium,Cafe,Afternoon,Tuesday,Anniversary,10:00 AM,No Change
Errands,1.5,High,Home Office,Morning,Monday,Holiday,9:00 AM,Moved Later
Errands,2.0,Low,Cafe,Morning,Tuesday,Birthday,4:00 PM,Moved Later
Deep Work,1.0,Medium,Home Office,Afternoon,Thursday,Holiday,9:00 AM,Moved Earlier
Errands,1.0,Low,Gym,Morning,Monday,Holiday,9:00 AM,Moved Later
Errands,1.5,High,Office,Morning,Thursday,Holiday,12:00 PM,No Change
Errands,3.0,High,Cafe,Afternoon,Tuesday,Anniversary,6:00 PM,No Change
Errands,0.5,High,Home Office,Afternoon,Monday,Birthday,6:00 PM,Moved Earlier
Exercise,1.5,High,Various,Afternoon,Tuesday,None,2:00 PM,No Change
Exercise,1.5,Medium,Office,Afternoon,Monday,Anniversary,5:00 PM,No Change
Deep Work,2.0,Medium,Gym,Evening,Tuesday,None,9:00 AM,No Change
Meeting,1.0,Low,Home Office,Evening,Thursday,None,3:00 PM,No Change
Errands,1.5,High,Gym,Afternoon,Sunday,Anniversary,6:00 PM,Moved Later
Meeting,1.5,Low,Gym,Morning,Thursday,Anniversary,1:00 PM,No Change
Meeting,3.0,Medium,Cafe,Afternoon,Tuesday,Birthday,4:00 PM,Moved Earlier
Deep Work,3.0,High,Cafe,Afternoon,Monday,Birthday,3:00 PM,Moved Earlier
Errands,0.5,High,Home Office,Morning,Wednesday,Holiday,12:00 PM,No Change
Errands,2.0,Medium,Various,Evening,Thursday,None,12:00 PM,Moved Earlier
Social,0.5,Medium,Home Office,Afternoon,Thursday,Birthday,2:00 PM,No Change
Meeting,3.0,Medium,Various,Afternoon,Saturday,Holiday,2:00 PM,Moved Earlier
Meeting,1.0,Medium,Gym,Evening,Wednesday,Birthday,5:00 PM,Moved Earlier
Exercise,3.0,Medium,Office,Evening,Tuesday,Anniversary,1:00 PM,No Change
Social,2.0,High,Home Office,Morning,Sunday,Birthday,4:00 PM,No Change
Exercise,3.0,Medium,Home Office,Evening,Monday,None,1:00 PM,Moved Later
Exercise,2.0,High,Various,Evening,Saturday,Birthday,10:00 AM,No Change
Exercise,2.0,High,Gym,Evening,Tuesday,None,2:00 PM,No Change
Deep Work,2.0,Medium,Gym,Morning,Friday,Anniversary,5:00 PM,Moved Later
Deep Work,2.0,Medium,Various,Evening,Sunday,None,11:00 AM,No Change
Exercise,2.0,High,Gym,Evening,Thursday,Birthday,9:00 AM,No Change
Social,1.0,Medium,Cafe,Morning,Friday,Holiday,9:00 AM,Moved Later
Meeting,0.5,Medium,Office,Evening,Thursday,Anniversary,11:00 AM,No Change
Social,1.5,Medium,Home Office,Evening,Thursday,Birthday,6:00 PM,No Change
Errands,0.5,Low,Office,Morning,Friday,Anniversary,1:00 PM,Moved Later
Deep Work,2.0,High,Home Office,Afternoon,Sunday,Anniversary,11:00 AM,Moved Later
Meeting,1.0,Low,Cafe,Morning,Friday,Birthday,5:00 PM,Moved Earlier
Meeting,3.0,Medium,Gym,Evening,Tuesday,Birthday,4:00 PM,No Change
Errands,1.0,Low,Various,Evening,Saturday,Holiday,11:00 AM,Moved Earlier
Errands,2.0,Medium,Cafe,Evening,Saturday,Anniversary,5:00 PM,Moved Earlier
Exercise,1.0,Low,Office,Morning,Friday,Anniversary,2:00 PM,Moved Later
Deep Work,1.0,Medium,Various,Evening,Tuesday,Birthday,3:00 PM,No Change
Deep Work,2.0,Low,Gym,Evening,Saturday,None,12:00 PM,No Change
Social,1.0,Low,Cafe,Morning,Tuesday,Birthday,12:00 PM,Moved Later
Exercise,1.5,Low,Various,Afternoon,Tuesday,Anniversary,10:00 AM,Moved Earlier
Exercise,1.5,High,Cafe,Afternoon,Thursday,Birthday,1:00 PM,Moved Later
Exercise,1.0,Low,Cafe,Evening,Saturday,Holiday,4:00 PM,No Change
Exercise,3.0,High,Gym,Morning,Saturday,None,3:00 PM,Moved Later
Deep Work,2.0,Medium,Home Office,Evening,Thursday,Birthday,3:00 PM,No Change
Deep Work,1.5,Low,Various,Morning,Friday,Holiday,2:00 PM,Moved Earlier
Exercise,3.0,Medium,Gym,Morning,Thursday,Anniversary,11:00 AM,No Change
Social,1.0,Medium,Cafe,Afternoon,Saturday,Birthday,1:00 PM,Moved Earlier
Meeting,3.0,Low,Gym,Afternoon,Saturday,Anniversary,9:00 AM,Moved Earlier
Meeting,0.5,High,Home Office,Morning,Sunday,Holiday,3:00 PM,No Change
Social,1.5,Low,Various,Evening,Friday,Anniversary,5:00 PM,No Change
Exercise,1.0,Medium,Home Office,Afternoon,Thursday,Holiday,9:00 AM,Moved Earlier
Deep Work,2.0,Medium,Office,Evening,Monday,Holiday,10:00 AM,Moved Later
Meeting,1.0,Low,Various,Afternoon,Monday,Holiday,11:00 AM,No Change
Errands,2.0,High,Home Office,Afternoon,Friday,Birthday,11:00 AM,Moved Earlier
Errands,1.0,High,Cafe,Evening,Thursday,Anniversary,4:00 PM,Moved Earlier
Social,3.0,Medium,Various,Afternoon,Thursday,Anniversary,3:00 PM,Moved Later
Exercise,3.0,Medium,Various,Afternoon,Tuesday,None,2:00 PM,No Change
Meeting,3.0,High,Gym,Evening,Saturday,None,6:00 PM,Moved Earlier
Exercise,0.5,Low,Cafe,Afternoon,Wednesday,None,6:00 PM,Moved Later
Meeting,2.0,Medium,Office,Afternoon,Sunday,None,12:00 PM,Moved Earlier
Social,3.0,High,Home Office,Afternoon,Friday,Anniversary,5:00 PM,No Change
Social,0.5,Medium,Gym,Evening,Wednesday,Holiday,9:00 AM,Moved Later
Errands,2.0,Low,Home Office,Morning,Wednesday,Holiday,10:00 AM,Moved Earlier
Exercise,1.0,High,Office,Evening,Friday,Birthday,12:00 PM,Moved Later
Errands,0.5,Medium,Office,Morning,Thursday,Holiday,11:00 AM,No Change
Exercise,1.5,Low,Various,Afternoon,Friday,Anniversary,9:00 AM,Moved Later
Errands,0.5,Medium,Office,Morning,Wednesday,Anniversary,1:00 PM,No Change
Deep Work,0.5,Low,Home Office,Evening,Saturday,Anniversary,3:00 PM,Moved Earlier
Deep Work,2.0,Low,Cafe,Evening,Sunday,Birthday,10:00 AM,No Change
Deep Work,1.0,High,Cafe,Afternoon,Sunday,None,1:00 PM,Moved Earlier
Deep Work,1.5,Low,Various,Morning,Saturday,Holiday,2:00 PM,Moved Earlier
Meeting,3.0,Medium,Home Office,Afternoon,Saturday,Anniversary,3:00 PM,No Change
