Task Type,Duration (hrs),Priority,Location,Preferred Time of Day,Day of Week,Special Dates,Scheduled Time,Slot Adjustment
Deep Work,3.0,Low,Home Office,Afternoon,Thursday,Anniversary,9:00 AM,Moved Earlier
Social,0.5,Low,Office,Evening,Monday,None,3:00 PM,Moved Later
Social,2.0,High,Home Office,Morning,Friday,Anniversary,12:00 PM,Moved Earlier
Meeting,2.0,Low,Gym,Morning,Sunday,Holiday,4:00 PM,No Change
Deep Work,3.0,Low,Office,Morning,Saturday,Birthday,12:00 PM,Moved Later
Deep Work,1.5,Medium,Gym,Morning,Friday,Anniversary,2:00 PM,Moved Later
Deep Work,1.0,High,Various,Afternoon,Sunday,Holiday,5:00 PM,Moved Earlier
Errands,1.5,High,Cafe,Afternoon,Saturday,Anniversary,1:00 PM,Moved Earlier
Exercise,1.0,High,Various,Evening,Sunday,None,12:00 PM,No Change
Errands,3.0,Low,Cafe,Afternoon,Thursday,Anniversary,4:00 PM,Moved Later
Exercise,1.0,High,Various,Afternoon,Monday,Anniversary,5:00 PM,No Change
Deep Work,2.0,Low,Home Office,Evening,Monday,Birthday,12:00 PM,Moved Earlier
Deep Work,0.5,Low,Gym,Evening,Saturday,None,11:00 AM,Moved Later
Errands,0.5,Medium,Cafe,Evening,Sunday,None,4:00 PM,No Change
Errands,3.0,Medium,Office,Afternoon,Thursday,Birthday,1:00 PM,No Change
Exercise,2.0,Medium,Gym,Afternoon,Tuesday,Anniversary,10:00 AM,No Change
Social,1.5,Medium,Office,Evening,Friday,Holiday,6:00 PM,No Change
Exercise,2.0,Medium,Gym,Evening,Friday,None,5:00 PM,No Change
Errands,0.5,Low,Gym,Evening,Wednesday,None,11:00 AM,Moved Later
Errands,0.5,Low,Various,Afternoon,Thursday,Anniversary,10:00 AM,No Change
Meeting,2.0,High,Cafe,Afternoon,Sunday,Anniversary,9:00 AM,Moved Later
Errands,2.0,Low,Cafe,Morning,Wednesday,None,4:00 PM,No Change
Meeting,0.5,Low,Gym,Afternoon,Saturday,Anniversary,11:00 AM,Moved Earlier
Social,1.5,Medium,Home Office,Afternoon,Sunday,Holiday,3:00 PM,Moved Earlier
Exercise,3.0,Low,Home Office,Afternoon,Wednesday,None,9:00 AM,No Change
Exercise,3.0,Medium,Office,Evening,Monday,Holiday,9:00 AM,Moved Earlier
Meeting,2.0,High,Office,Afternoon,Friday,Holiday,5:00 PM,Moved Later
Exercise,3.0,High,Various,Evening,Sunday,Anniversary,4:00 PM,No Change
Errands,0.5,Low,Gym,Morning,Wednesday,Holiday,11:00 AM,Moved Later
Deep Work,0.5,High,Office,Morning,Monday,Anniversary,2:00 PM,No Change
Meeting,2.0,Low,Office,Evening,Thursday,Birthday,11:00 AM,Moved Earlier
Exercise,2.0,High,Gym,Evening,Wednesday,Anniversary,12:00 PM,Moved Later
Meeting,2.0,Medium,Various,Evening,Saturday,Holiday,9:00 AM,Moved Earlier
Meeting,1.5,Medium,Office,Afternoon,Saturday,Birthday,1:00 PM,Moved Earlier
Deep Work,3.0,Medium,Various,Morning,Saturday,Anniversary,9:00 AM,No Change
Errands,2.0,Medium,Cafe,Evening,Sunday,Holiday,9:00 AM,Moved Later
Meeting,1.0,Low,Various,Afternoon,Friday,None,6:00 PM,Moved Earlier
Exercise,1.0,High,Home Office,Morning,Wednesday,None,3:00 PM,No Change
Social,0.5,Low,Home Office,Afternoon,Thursday,Anniversary,2:00 PM,No Change
Meeting,3.0,Medium,Various,Morning,Wednesday,Anniversary,10:00 AM,No Change
Meeting,2.0,Low,Home Office,Afternoon,Friday,None,10:00 AM,Moved Earlier
Deep Work,1.0,High,Cafe,Morning,Monday,Holiday,3:00 PM,No Change
Errands,3.0,Low,Gym,Morning,Friday,Holiday,9:00 AM,Moved Later
Social,0.5,High,Home Office,Afternoon,Saturday,Holiday,10:00 AM,Moved Later
Exercise,1.5,Low,Home Office,Evening,Sunday,Anniversary,4:00 PM,Moved Earlier
Social,3.0,High,Various,Morning,Monday,Birthday,2:00 PM,Moved Later
Exercise,3.0,High,Cafe,Evening,Sunday,Birthday,10:00 AM,No Change
Errands,1.5,Medium,Gym,Afternoon,Saturday,Birthday,3:00 PM,Moved Earlier
Exercise,3.0,High,Various,Evening,Tuesday,Birthday,12:00 PM,No Change
Deep Work,0.5,Medium,Various,Evening,Friday,Birthday,10:00 AM,Moved Earlier
Deep Work,0.5,Medium,Cafe,Evening,Friday,Anniversary,2:00 PM,Moved Earlier
Deep Work,1.5,Medium,Gym,Evening,Thursday,Anniversary,5:00 PM,No Change
Deep Work,2.0,Low,Cafe,Evening,Wednesday,Birthday,5:00 PM,Moved Later
Social,1.0,Low,Gym,Morning,Monday,Anniversary,4:00 PM,Moved Later
Errands,2.0,Low,Cafe,Morning,Sunday,Anniversary,11:00 AM,Moved Earlier
Exercise,3.0,Low,Various,Morning,Monday,Birthday,11:00 AM,No Change
Exercise,1.0,High,Various,Afternoon,Thursday,Holiday,10:00 AM,No Change
Deep Work,1.5,High,Office,Evening,Thursday,Anniversary,1:00 PM,Moved Earlier
Deep Work,1.5,Low,Home Office,Morning,Sunday,Holiday,12:00 PM,Moved Later
Meeting,1.0,High,Cafe,Afternoon,Wednesday,Anniversary,3:00 PM,No Change
Errands,0.5,High,Office,Morning,Sunday,Anniversary,12:00 PM,Moved Later
Social,1.0,Medium,Home Office,Morning,Sunday,Birthday,5:00 PM,Moved Later
Exercise,3.0,Medium,Cafe,Evening,Saturday,Anniversary,10:00 AM,Moved Earlier
Meeting,0.5,Medium,Gym,Afternoon,Wednesday,None,2:00 PM,Moved Earlier
Meeting,1.5,Medium,Home Office,Evening,Friday,None,3:00 PM,Moved Later
Exercise,1.0,High,Various,Evening,Saturday,Birthday,12:00 PM,No Change
Social,2.0,Low,Office,Morning,Tuesday,Holiday,2:00 PM,No Change
Meeting,2.0,High,Home Office,Evening,Wednesday,Holiday,3:00 PM,Moved Earlier
Meeting,3.0,High,Home Office,Afternoon,Thursday,Holiday,12:00 PM,Moved Later
Errands,2.0,High,Various,Evening,Saturday,None,4:00 PM,No Change
Social,1.0,Medium,Cafe,Evening,Wednesday,Holiday,5:00 PM,No Change
Meeting,1.0,Medium,Gym,Evening,Monday,Holiday,9:00 AM,Moved Earlier
Social,2.0,Medium,Various,Morning,Sunday,Birthday,3:00 PM,Moved Later
Exercise,1.0,Low,Gym,Afternoon,Tuesday,Holiday,5:00 PM,No Change
Deep Work,3.0,High,Cafe,Morning,Friday,None,6:00 PM,Moved Earlier
Meeting,0.5,Low,Home Office,Morning,Sunday,None,1:00 PM,No Change
Errands,3.0,Medium,Gym,Morning,Monday,None,10:00 AM,No Change
Exercise,3.0,Low,Office,Morning,Monday,Birthday,6:00 PM,No Change
Social,1.0,High,Office,Morning,Tuesday,Birthday,2:00 PM,Moved Earlier
Exercise,0.5,High,Various,Afternoon,Friday,Anniversary,3:00 PM,Moved Later
Meeting,1.0,Medium,Cafe,Evening,Thursday,Holiday,10:00 AM,Moved Earlier
Social,1.5,Medium,Various,Morning,Saturday,Birthday,10:00 AM,Moved Later
Deep Work,1.0,Low,Various,Morning,Friday,None,6:00 PM,No Change
Exercise,1.0,Medium,Various,Afternoon,Wednesday,None,6:00 PM,Moved Later
Meeting,1.0,Medium,Office,Afternoon,Monday,Birthday,9:00 AM,No Change
Errands,0.5,High,Office,Evening,Wednesday,Birthday,12:00 PM,No Change
Social,1.0,Medium,Various,Afternoon,Thursday,Birthday,3:00 PM,Moved Earlier
Exercise,0.5,Medium,Office,Evening,Wednesday,Anniversary,5:00 PM,No Change
Exercise,2.0,High,Cafe,Morning,Friday,None,11:00 AM,Moved Earlier
Deep Work,1.5,High,Various,Morning,Wednesday,Anniversary,3:00 PM,Moved Later
Deep Work,0.5,Low,Office,Evening,Thursday,Anniversary,3:00 PM,Moved Later
Errands,2.0,Medium,Gym,Afternoon,Thursday,Holiday,3:00 PM,No Change
Errands,0.5,High,Various,Evening,Thursday,None,10:00 AM,Moved Earlier
Meeting,0.5,Low,Various,Afternoon,Friday,None,2:00 PM,No Change
Meeting,1.5,Low,Cafe,Morning,Thursday,Birthday,10:00 AM,Moved Earlier
Errands,3.0,Medium,Home Office,Afternoon,Monday,Birthday,2:00 PM,Moved Earlier
Errands,3.0,Medium,Home Office,Evening,Sunday,Holiday,6:00 PM,Moved Earlier
Social,0.5,Low,Cafe,Evening,Thursday,Anniversary,11:00 AM,Moved Later
Deep Work,1.0,High,Cafe,Morning,Wednesday,Birthday,10:00 AM,Moved Earlier
Meeting,2.0,Low,Cafe,Afternoon,Saturday,Birthday,2:00 PM,Moved Later
Deep Work,1.0,Medium,Home Office,Afternoon,Wednesday,None,10:00 AM,Moved Earlier
Deep Work,1.0,High,Cafe,Afternoon,Saturday,None,1:00 PM,Moved Later
Errands,0.5,High,Office,Morning,Wednesday,Birthday,10:00 AM,Moved Later
Social,0.5,Low,Various,Afternoon,Friday,None,11:00 AM,Moved Later
Exercise,0.5,Medium,Various,Evening,Wednesday,Holiday,11:00 AM,No Change
Social,0.5,Low,Gym,Afternoon,Friday,Birthday,2:00 PM,Moved Earlier
Social,3.0,Low,Gym,Morning,Friday,None,2:00 PM,No Change
Deep Work,0.5,Low,Various,Afternoon,Thursday,Holiday,6:00 PM,Moved Earlier
Social,3.0,High,Office,Afternoon,Monday,None,11:00 AM,Moved Earlier
Meeting,3.0,High,Home Office,Evening,Saturday,None,11:00 AM,No Change
Deep Work,0.5,Medium,Home Office,Afternoon,Thursday,None,9:00 AM,Moved Later
Meeting,1.5,Medium,Office,Evening,Thursday,Birthday,3:00 PM,Moved Earlier
Exercise,2.0,Low,Home Office,Evening,Sunday,Anniversary,4:00 PM,Moved Later
Deep Work,1.0,Low,Cafe,Morning,Friday,None,10:00 AM,No Change
Exercise,3.0,Low,Various,Evening,Friday,Holiday,12:00 PM,Moved Later
Deep Work,2.0,Medium,Various,Evening,Saturday,Birthday,6:00 PM,Moved Earlier
Errands,1.5,High,Office,Morning,Wednesday,Birthday,3:00 PM,Moved Earlier
Social,1.0,High,Home Office,Evening,Wednesday,Holiday,4:00 PM,Moved Earlier
Errands,1.0,Low,Gym,Morning,Thursday,None,9:00 AM,No Change
Exercise,3.0,Low,Gym,Afternoon,Tuesday,Anniversary,12:00 PM,Moved Earlier
Social,0.5,Low,Home Office,Morning,Tuesday,None,2:00 PM,No Change
Deep Work,1.5,Low,Gym,Evening,Wednesday,Holiday,11:00 AM,Moved Later
Social,3.0,Medium,Office,Morning,Tuesday,Birthday,1:00 PM,Moved Earlier
Meeting,1.5,High,Office,Evening,Sunday,Anniversary,6:00 PM,Moved Earlier
Social,0.5,Low,Home Office,Afternoon,Wednesday,Birthday,5:00 PM,Moved Earlier
Meeting,0.5,Medium,Gym,Morning,Friday,Holiday,11:00 AM,Moved Later
Social,3.0,Low,Office,Afternoon,Thursday,None,1:00 PM,Moved Earlier
Meeting,0.5,Low,Office,Evening,Monday,Anniversary,4:00 PM,No Change
Exercise,2.0,High,Cafe,Evening,Thursday,Birthday,2:00 PM,Moved Later
Errands,1.0,Low,Cafe,Afternoon,Wednesday,Birthday,12:00 PM,Moved Later
Deep Work,3.0,High,Office,Morning,Sunday,Birthday,4:00 PM,Moved Later
Social,1.5,High,Home Office,Morning,Wednesday,None,11:00 AM,Moved Later
Errands,2.0,High,Various,Evening,Thursday,Anniversary,11:00 AM,Moved Later
Deep Work,3.0,Medium,Various,Afternoon,Sunday,None,12:00 PM,No Change
Deep Work,0.5,Medium,Office,Afternoon,Sunday,None,5:00 PM,Moved Later
Meeting,0.5,High,Office,Morning,Sunday,None,1:00 PM,Moved Earlier
Exercise,0.5,Low,Office,Morning,Saturday,Holiday,4:00 PM,Moved Later
Exercise,0.5,High,Home Office,Morning,Wednesday,Holiday,2:00 PM,Moved Later
Errands,1.5,Low,Cafe,Afternoon,Tuesday,Holiday,11:00 AM,Moved Later
Exercise,2.0,High,Office,Morning,Tuesday,Anniversary,4:00 PM,Moved Later
Social,1.0,Low,Office,Morning,Wednesday,None,5:00 PM,Moved Later
Exercise,1.5,Medium,Gym,Evening,Wednesday,None,4:00 PM,No Change
Errands,1.5,Low,Home Office,Morning,Saturday,Holiday,12:00 PM,No Change
Exercise,1.0,High,Office,Morning,Tuesday,None,2:00 PM,Moved Later
Social,1.0,Medium,Gym,Afternoon,Wednesday,None,9:00 AM,No Change
Meeting,0.5,Low,Various,Afternoon,Wednesday,Birthday,12:00 PM,Moved Earlier
Errands,1.5,Low,Office,Evening,Saturday,None,4:00 PM,Moved Later
Meeting,3.0,Low,Office,Morning,Saturday,Birthday,9:00 AM,Moved Earlier
Meeting,1.0,Low,Gym,Evening,Thursday,None,11:00 AM,Moved Earlier
Meeting,1.0,Low,Home Office,Afternoon,Saturday,Anniversary,9:00 AM,Moved Later
Deep Work,2.0,Medium,Office,Evening,Monday,Holiday,5:00 PM,Moved Earlier
Deep Work,3.0,Medium,Various,Afternoon,Tuesday,Birthday,10:00 AM,Moved Earlier
Meeting,3.0,Medium,Office,Evening,Thursday,Holiday,5:00 PM,Moved Earlier
Errands,1.0,Medium,Various,Evening,Monday,Birthday,12:00 PM,Moved Later
Social,0.5,High,Cafe,Morning,Wednesday,Birthday,10:00 AM,Moved Later
Social,2.0,Medium,Cafe,Evening,Wednesday,Birthday,12:00 PM,Moved Earlier
Exercise,3.0,Low,Various,Morning,Thursday,Anniversary,6:00 PM,Moved Later
Errands,1.0,Low,Home Office,Morning,Saturday,None,2:00 PM,Moved Later
Deep Work,3.0,Medium,Office,Morning,Sunday,Birthday,3:00 PM,Moved Earlier
Meeting,2.0,Low,Office,Morning,Sunday,Anniversary,11:00 AM,Moved Later
Exercise,2.0,Medium,Cafe,Evening,Wednesday,Birthday,11:00 AM,No Change
Social,1.5,Low,Various,Afternoon,Sunday,None,6:00 PM,Moved Later
Deep Work,1.0,High,Office,Afternoon,Friday,Birthday,4:00 PM,No Change
Deep Work,2.0,High,Office,Afternoon,Thursday,Anniversary,1:00 PM,Moved Earlier
Meeting,1.5,Medium,Home Office,Evening,Monday,None,12:00 PM,Moved Later
Social,1.5,Medium,Gym,Morning,Thursday,Anniversary,3:00 PM,Moved Earlier
Errands,3.0,Medium,Cafe,Afternoon,Tuesday,None,3:00 PM,Moved Earlier
Deep Work,3.0,Low,Cafe,Evening,Saturday,None,5:00 PM,Moved Earlier
Meeting,1.5,Medium,Gym,Morning,Saturday,Holiday,5:00 PM,Moved Earlier
Errands,3.0,High,Office,Afternoon,Thursday,Holiday,1:00 PM,Moved Earlier
Social,2.0,Low,Home Office,Morning,Wednesday,Holiday,4:00 PM,Moved Later
Deep Work,0.5,Medium,Home Office,Afternoon,Wednesday,None,6:00 PM,No Change
Errands,2.0,Low,Cafe,Afternoon,Friday,Birthday,9:00 AM,Moved Later
Errands,1.5,Low,Home Office,Afternoon,Friday,Anniversary,5:00 PM,Moved Later
Errands,1.5,Medium,Gym,Morning,Saturday,Anniversary,4:00 PM,Moved Later
Deep Work,2.0,Low,Office,Evening,Friday,Anniversary,2:00 PM,Moved Later
Deep Work,3.0,High,Gym,Morning,Monday,Holiday,11:00 AM,No Change
Exercise,3.0,High,Various,Afternoon,Friday,None,11:00 AM,Moved Later
Social,1.5,Low,Cafe,Morning,Monday,Holiday,4:00 PM,Moved Earlier
Meeting,1.0,Medium,Home Office,Evening,Friday,Birthday,1:00 PM,Moved Later
Errands,3.0,Low,Various,Morning,Saturday,None,6:00 PM,Moved Later
Exercise,2.0,High,Home Office,Evening,Saturday,Anniversary,3:00 PM,No Change
Meeting,3.0,Low,Office,Evening,Monday,Holiday,1:00 PM,No Change
Exercise,2.0,Low,Office,Morning,Thursday,Holiday,4:00 PM,Moved Earlier
Deep Work,1.5,High,Office,Afternoon,Saturday,Birthday,6:00 PM,Moved Later
Errands,3.0,Low,Home Office,Evening,Thursday,Birthday,6:00 PM,Moved Later
Meeting,2.0,Low,Various,Morning,Wednesday,Holiday,12:00 PM,Moved Later
Meeting,1.5,Medium,Office,Evening,Monday,Birthday,10:00 AM,Moved Earlier
Meeting,1.0,Medium,Various,Afternoon,Sunday,Anniversary,11:00 AM,No Change
Meeting,2.0,High,Home Office,Morning,Saturday,Birthday,4:00 PM,Moved Earlier
Meeting,1.0,High,Various,Morning,Tuesday,Birthday,3:00 PM,Moved Later
Exercise,1.0,High,Home Office,Morning,Wednesday,Holiday,10:00 AM,No Change
Errands,0.5,Medium,Home Office,Afternoon,Thursday,Holiday,2:00 PM,No Change
Deep Work,3.0,High,Cafe,Evening,Saturday,None,5:00 PM,Moved Earlier
Deep Work,2.0,High,Home Office,Morning,Monday,None,12:00 PM,No Change
Deep Work,1.0,High,Home Office,Evening,Sunday,Holiday,5:00 PM,No Change
Deep Work,0.5,Medium,Gym,Evening,Friday,Birthday,10:00 AM,Moved Later
Exercise,1.5,Low,Office,Afternoon,Sunday,Birthday,10:00 AM,Moved Later
Social,2.0,High,Cafe,Morning,Tuesday,None,5:00 PM,No Change
Errands,1.0,Low,Cafe,Evening,Thursday,None,3:00 PM,No Change
Meeting,3.0,High,Cafe,Morning,Wednesday,None,3:00 PM,Moved Earlier
Social,0.5,Low,Gym,Morning,Sunday,Anniversary,9:00 AM,Moved Earlier
Deep Work,1.0,Medium,Home Office,Afternoon,Monday,Anniversary,2:00 PM,No Change
Social,3.0,Medium,Office,Morning,Tuesday,None,3:00 PM,Moved Later
Errands,1.0,High,Various,Morning,Monday,Birthday,2:00 PM,No Change
Meeting,2.0,Low,Home Office,Evening,Saturday,None,2:00 PM,No Change
Meeting,2.0,Medium,Gym,Afternoon,Friday,Anniversary,10:00 AM,Moved Later
Errands,2.0,High,Home Office,Morning,Wednesday,Birthday,2:00 PM,Moved Later
Errands,0.5,High,Home Office,Evening,Monday,Anniversary,12:00 PM,Moved Earlier
Deep Work,2.0,Medium,Gym,Afternoon,Thursday,Birthday,5:00 PM,Moved Earlier
Meeting,3.0,Medium,Cafe,Afternoon,Saturday,Anniversary,9:00 AM,Moved Earlier
Social,1.0,High,Cafe,Evening,Saturday,Birthday,4:00 PM,Moved Earlier
Exercise,1.5,Low,Office,Evening,Wednesday,Birthday,1:00 PM,Moved Later
Exercise,3.0,Low,Office,Evening,Saturday,Birthday,9:00 AM,No Change
Errands,3.0,Low,Cafe,Evening,Thursday,Birthday,12:00 PM,Moved Earlier
Deep Work,2.0,High,Various,Evening,Monday,Holiday,9:00 AM,Moved Earlier
Exercise,0.5,Medium,Home Office,Morning,Wednesday,Anniversary,2:00 PM,Moved Later
Meeting,1.0,High,Various,Morning,Saturday,Anniversary,10:00 AM,Moved Later
Errands,0.5,Medium,Home Office,Afternoon,Saturday,Holiday,1:00 PM,No Change
Social,1.0,Low,Cafe,Morning,Thursday,Birthday,3:00 PM,No Change
Errands,1.0,Low,Office,Morning,Friday,Birthday,10:00 AM,Moved Later
Social,0.5,Medium,Office,Morning,Friday,Anniversary,2:00 PM,Moved Earlier
Errands,3.0,Medium,Various,Evening,Sunday,Holiday,2:00 PM,Moved Earlier
Errands,1.0,High,Office,Afternoon,Saturday,Birthday,1:00 PM,Moved Earlier
Errands,0.5,Low,Cafe,Afternoon,Monday,Birthday,1:00 PM,No Change
Social,1.0,High,Various,Afternoon,Wednesday,Birthday,11:00 AM,Moved Earlier
Social,1.5,High,Home Office,Afternoon,Saturday,None,6:00 PM,Moved Earlier
Errands,3.0,High,Office,Morning,Tuesday,Holiday,6:00 PM,Moved Later
Exercise,2.0,Low,Gym,Morning,Wednesday,Birthday,10:00 AM,Moved Earlier
Deep Work,1.0,High,Office,Evening,Sunday,None,3:00 PM,Moved Later
Deep Work,1.5,High,Home Office,Afternoon,Friday,Holiday,9:00 AM,Moved Earlier
Deep Work,2.0,High,Various,Morning,Saturday,Birthday,2:00 PM,No Change
Social,2.0,High,Home Office,Morning,Thursday,Anniversary,2:00 PM,Moved Earlier
Social,1.0,High,Gym,Evening,Tuesday,None,11:00 AM,Moved Earlier
Exercise,0.5,High,Cafe,Evening,Saturday,None,10:00 AM,Moved Later
Deep Work,1.0,Low,Office,Evening,Sunday,Birthday,10:00 AM,Moved Later
Deep Work,1.5,High,Various,Morning,Monday,Birthday,5:00 PM,Moved Later
Errands,2.0,Medium,Cafe,Morning,Tuesday,None,1:00 PM,Moved Earlier
Social,1.0,High,Home Office,Evening,Sunday,Anniversary,3:00 PM,Moved Earlier
Deep Work,0.5,High,Various,Afternoon,Saturday,Anniversary,1:00 PM,No Change
Exercise,1.0,Low,Cafe,Evening,Monday,Holiday,3:00 PM,Moved Earlier
Exercise,3.0,Low,Various,Evening,Tuesday,Birthday,12:00 PM,No Change
Deep Work,0.5,Medium,Gym,Evening,Monday,Anniversary,4:00 PM,Moved Later
Social,1.5,Medium,Gym,Evening,Monday,Holiday,6:00 PM,Moved Later
Exercise,2.0,Low,Office,Morning,Tuesday,Anniversary,6:00 PM,Moved Later
Errands,1.0,Low,Office,Afternoon,Tuesday,Birthday,3:00 PM,No Change
Exercise,0.5,High,Gym,Evening,Monday,Holiday,6:00 PM,Moved Earlier
Meeting,3.0,Low,Various,Afternoon,Sunday,Holiday,1:00 PM,Moved Later
Meeting,0.5,Medium,Gym,Afternoon,Friday,Holiday,2:00 PM,Moved Earlier
Social,3.0,High,Office,Afternoon,Tuesday,Anniversary,1:00 PM,Moved Earlier
Deep Work,1.5,Medium,Gym,Evening,Saturday,Birthday,3:00 PM,Moved Later
